year,week,district,precipitation
2010,1,BOANE,20.3104343414307
2010,1,MAGUDE,0
2010,1,MANHICA,14.2144174575806
2010,1,MARRACUENE,18.8690223693848
2010,1,MATOLA,14.3909168243408
2010,1,MATUTUINE,23.037257194519
2010,1,MOAMBA,14.6594910621643
2010,1,NAMAACHA,23.425980091095
2010,2,BOANE,5.07760858535767
2010,2,MAGUDE,11.7795534133911
2010,2,MANHICA,0
2010,2,MARRACUENE,0
2010,2,MATOLA,9.59394454956055
2010,2,MATUTUINE,15.3581714630127
2010,2,MOAMBA,0
2010,2,NAMAACHA,0
2010,3,BOANE,3.56049561500549
2010,3,MAGUDE,10.4316511154175
2010,3,MANHICA,4.65424489974976
2010,3,MARRACUENE,5.42467927932739
2010,3,MATOLA,6.4147047996521
2010,3,MATUTUINE,3.93739008903503
2010,3,MOAMBA,7.45976781845093
2010,3,NAMAACHA,7.3239369392395
2010,4,BOANE,26.2076539993286
2010,4,MAGUDE,0
2010,4,MANHICA,8.26646709442139
2010,4,MARRACUENE,11.8849320411682
2010,4,MATOLA,26.1299390792847
2010,4,MATUTUINE,44.170871257782
2010,4,MOAMBA,11.0311698913574
2010,4,NAMAACHA,39.8101177215576
2010,5,BOANE,54.5134153366089
2010,5,MAGUDE,63.4274597167969
2010,5,MANHICA,85.620080947876
2010,5,MARRACUENE,85.8340625762939
2010,5,MATOLA,84.692626953125
2010,5,MATUTUINE,70.6309823989868
2010,5,MOAMBA,84.055305480957
2010,5,NAMAACHA,68.5913238525391
2010,6,BOANE,0
2010,6,MAGUDE,0
2010,6,MANHICA,0
2010,6,MARRACUENE,0
2010,6,MATOLA,0
2010,6,MATUTUINE,40.3082389831543
2010,6,MOAMBA,0
2010,6,NAMAACHA,0
2010,7,BOANE,0
2010,7,MAGUDE,0
2010,7,MANHICA,0
2010,7,MARRACUENE,0
2010,7,MATOLA,0
2010,7,MATUTUINE,0
2010,7,MOAMBA,0
2010,7,NAMAACHA,0
2010,8,BOANE,47.0692577362061
2010,8,MAGUDE,30.1967806816101
2010,8,MANHICA,38.4182586669922
2010,8,MARRACUENE,48.8997344970703
2010,8,MATOLA,52.0201454162598
2010,8,MATUTUINE,28.8401851654053
2010,8,MOAMBA,29.1077470779419
2010,8,NAMAACHA,75.6172180175781
2010,9,BOANE,0
2010,9,MAGUDE,0
2010,9,MANHICA,0
2010,9,MARRACUENE,0
2010,9,MATOLA,0
2010,9,MATUTUINE,0
2010,9,MOAMBA,0
2010,9,NAMAACHA,0
2010,10,BOANE,0
2010,10,MAGUDE,0
2010,10,MANHICA,0
2010,10,MARRACUENE,0
2010,10,MATOLA,0
2010,10,MATUTUINE,0
2010,10,MOAMBA,0
2010,10,NAMAACHA,0
2010,11,BOANE,0
2010,11,MAGUDE,0
2010,11,MANHICA,0
2010,11,MARRACUENE,0
2010,11,MATOLA,0
2010,11,MATUTUINE,0
2010,11,MOAMBA,0
2010,11,NAMAACHA,0
2010,12,BOANE,13.2184591293335
2010,12,MAGUDE,56.3510055541992
2010,12,MANHICA,54.4316787719727
2010,12,MARRACUENE,18.4733104705811
2010,12,MATOLA,23.9697513580322
2010,12,MATUTUINE,16.3440585136414
2010,12,MOAMBA,28.9806671142578
2010,12,NAMAACHA,15.1722693443298
2010,13,BOANE,7.66875171661377
2010,13,MAGUDE,0
2010,13,MANHICA,0
2010,13,MARRACUENE,0
2010,13,MATOLA,0
2010,13,MATUTUINE,0
2010,13,MOAMBA,0
2010,13,NAMAACHA,17.4585037231445
2010,14,BOANE,56.3466558456421
2010,14,MAGUDE,29.2464370727539
2010,14,MANHICA,42.6307516098022
2010,14,MARRACUENE,79.1116409301758
2010,14,MATOLA,83.0194702148438
2010,14,MATUTUINE,88.1762094497681
2010,14,MOAMBA,21.9265937805176
2010,14,NAMAACHA,67.6687984466553
2010,15,BOANE,20.4573063850403
2010,15,MAGUDE,36.9281692504883
2010,15,MANHICA,58.1735563278198
2010,15,MARRACUENE,52.3416547775269
2010,15,MATOLA,26.7560577392578
2010,15,MATUTUINE,34.5759534835815
2010,15,MOAMBA,32.5117654800415
2010,15,NAMAACHA,36.4024600982666
2010,16,BOANE,0
2010,16,MAGUDE,0
2010,16,MANHICA,0
2010,16,MARRACUENE,0
2010,16,MATOLA,0
2010,16,MATUTUINE,0
2010,16,MOAMBA,0
2010,16,NAMAACHA,0
2010,17,BOANE,14.0764617919922
2010,17,MAGUDE,0
2010,17,MANHICA,39.3338356018066
2010,17,MARRACUENE,40.2323608398438
2010,17,MATOLA,43.245548248291
2010,17,MATUTUINE,32.9512615203857
2010,17,MOAMBA,18.8511085510254
2010,17,NAMAACHA,24.3998022079468
2010,18,BOANE,0
2010,18,MAGUDE,0
2010,18,MANHICA,0
2010,18,MARRACUENE,0
2010,18,MATOLA,0
2010,18,MATUTUINE,0
2010,18,MOAMBA,0
2010,18,NAMAACHA,0
2010,19,BOANE,5.51988840103149
2010,19,MAGUDE,0
2010,19,MANHICA,0
2010,19,MARRACUENE,8.69020843505859
2010,19,MATOLA,8.90609931945801
2010,19,MATUTUINE,10.296012878418
2010,19,MOAMBA,5.56788969039917
2010,19,NAMAACHA,10.2503910064697
2010,20,BOANE,0
2010,20,MAGUDE,0
2010,20,MANHICA,0
2010,20,MARRACUENE,0
2010,20,MATOLA,0
2010,20,MATUTUINE,0
2010,20,MOAMBA,0
2010,20,NAMAACHA,0
2010,21,BOANE,2.74004697799683
2010,21,MAGUDE,9.36079502105713
2010,21,MANHICA,13.2013931274414
2010,21,MARRACUENE,0
2010,21,MATOLA,0
2010,21,MATUTUINE,0
2010,21,MOAMBA,0
2010,21,NAMAACHA,0
2010,22,BOANE,0
2010,22,MAGUDE,0
2010,22,MANHICA,0
2010,22,MARRACUENE,0
2010,22,MATOLA,0
2010,22,MATUTUINE,0
2010,22,MOAMBA,0
2010,22,NAMAACHA,0
2010,23,BOANE,0
2010,23,MAGUDE,0
2010,23,MANHICA,4.55091905593872
2010,23,MARRACUENE,0
2010,23,MATOLA,0
2010,23,MATUTUINE,0
2010,23,MOAMBA,0
2010,23,NAMAACHA,0
2010,24,BOANE,3.10912537574768
2010,24,MAGUDE,0
2010,24,MANHICA,3.15448784828186
2010,24,MARRACUENE,8.249272108078
2010,24,MATOLA,3.60576915740967
2010,24,MATUTUINE,3.70922422409058
2010,24,MOAMBA,0
2010,24,NAMAACHA,3.78795289993286
2010,25,BOANE,0
2010,25,MAGUDE,9.13252854347229
2010,25,MANHICA,0
2010,25,MARRACUENE,0
2010,25,MATOLA,0
2010,25,MATUTUINE,0
2010,25,MOAMBA,0
2010,25,NAMAACHA,0
2010,26,BOANE,0
2010,26,MAGUDE,0
2010,26,MANHICA,0
2010,26,MARRACUENE,0
2010,26,MATOLA,0
2010,26,MATUTUINE,0
2010,26,MOAMBA,0
2010,26,NAMAACHA,0
2010,27,BOANE,13.1751832962036
2010,27,MAGUDE,10.1078307628632
2010,27,MANHICA,6.79766845703125
2010,27,MARRACUENE,14.648551940918
2010,27,MATOLA,13.226279258728
2010,27,MATUTUINE,13.634946346283
2010,27,MOAMBA,13.7589380741119
2010,27,NAMAACHA,18.6984131336212
2010,28,BOANE,2.68668293952942
2010,28,MAGUDE,0
2010,28,MANHICA,0
2010,28,MARRACUENE,0
2010,28,MATOLA,3.02819085121155
2010,28,MATUTUINE,2.98891425132751
2010,28,MOAMBA,0
2010,28,NAMAACHA,0
2010,29,BOANE,0
2010,29,MAGUDE,0
2010,29,MANHICA,0
2010,29,MARRACUENE,0
2010,29,MATOLA,0
2010,29,MATUTUINE,0
2010,29,MOAMBA,0
2010,29,NAMAACHA,0
2010,30,BOANE,0
2010,30,MAGUDE,0
2010,30,MANHICA,4.36408376693726
2010,30,MARRACUENE,0
2010,30,MATOLA,0
2010,30,MATUTUINE,0
2010,30,MOAMBA,0
2010,30,NAMAACHA,2.60739946365356
2010,31,BOANE,0
2010,31,MAGUDE,8.517418384552
2010,31,MANHICA,5.87785530090332
2010,31,MARRACUENE,4.0461597442627
2010,31,MATOLA,2.5811870098114
2010,31,MATUTUINE,4.29518222808838
2010,31,MOAMBA,1.26582837104797
2010,31,NAMAACHA,3.20828866958618
2010,32,BOANE,0
2010,32,MAGUDE,0
2010,32,MANHICA,0
2010,32,MARRACUENE,0
2010,32,MATOLA,0
2010,32,MATUTUINE,0
2010,32,MOAMBA,0
2010,32,NAMAACHA,0
2010,33,BOANE,5.04788780212402
2010,33,MAGUDE,0
2010,33,MANHICA,0
2010,33,MARRACUENE,8.49490451812744
2010,33,MATOLA,5.27687931060791
2010,33,MATUTUINE,7.5184280872345
2010,33,MOAMBA,0
2010,33,NAMAACHA,6.66558384895325
2010,34,BOANE,0
2010,34,MAGUDE,0
2010,34,MANHICA,0
2010,34,MARRACUENE,0
2010,34,MATOLA,0
2010,34,MATUTUINE,0
2010,34,MOAMBA,0
2010,34,NAMAACHA,0
2010,35,BOANE,0
2010,35,MAGUDE,0
2010,35,MANHICA,6.81393146514893
2010,35,MARRACUENE,0
2010,35,MATOLA,0
2010,35,MATUTUINE,0
2010,35,MOAMBA,0
2010,35,NAMAACHA,0
2010,36,BOANE,0
2010,36,MAGUDE,3.5168662071228
2010,36,MANHICA,0
2010,36,MARRACUENE,0
2010,36,MATOLA,0
2010,36,MATUTUINE,0
2010,36,MOAMBA,0
2010,36,NAMAACHA,0
2010,37,BOANE,2.91880917549133
2010,37,MAGUDE,0
2010,37,MANHICA,10.8912968635559
2010,37,MARRACUENE,3.6139543056488
2010,37,MATOLA,3.39025926589966
2010,37,MATUTUINE,9.39193201065063
2010,37,MOAMBA,0
2010,37,NAMAACHA,3.80456233024597
2010,38,BOANE,5.04576635360718
2010,38,MAGUDE,0
2010,38,MANHICA,0
2010,38,MARRACUENE,4.8861141204834
2010,38,MATOLA,5.24861097335815
2010,38,MATUTUINE,7.59079360961914
2010,38,MOAMBA,3.74202585220337
2010,38,NAMAACHA,6.4255805015564
2010,39,BOANE,0
2010,39,MAGUDE,0
2010,39,MANHICA,0
2010,39,MARRACUENE,0
2010,39,MATOLA,0
2010,39,MATUTUINE,0
2010,39,MOAMBA,0
2010,39,NAMAACHA,0
2010,40,BOANE,0
2010,40,MAGUDE,4.21048736572266
2010,40,MANHICA,4.65413570404053
2010,40,MARRACUENE,0
2010,40,MATOLA,0
2010,40,MATUTUINE,0
2010,40,MOAMBA,2.59181690216064
2010,40,NAMAACHA,0
2010,41,BOANE,18.8009929656982
2010,41,MAGUDE,9.04253005981445
2010,41,MANHICA,17.1910076141357
2010,41,MARRACUENE,13.3857898712158
2010,41,MATOLA,11.4828500747681
2010,41,MATUTUINE,21.0104775428772
2010,41,MOAMBA,7.9159722328186
2010,41,NAMAACHA,10.1217260360718
2010,42,BOANE,11.3174953460693
2010,42,MAGUDE,0
2010,42,MANHICA,0
2010,42,MARRACUENE,3.83930397033691
2010,42,MATOLA,9.59211540222168
2010,42,MATUTUINE,21.0208692550659
2010,42,MOAMBA,4.87238693237305
2010,42,NAMAACHA,14.1748824119568
2010,43,BOANE,8.5460741519928
2010,43,MAGUDE,3.28884780406952
2010,43,MANHICA,3.85480213165283
2010,43,MARRACUENE,2.74202013015747
2010,43,MATOLA,3.11717677116394
2010,43,MATUTUINE,13.8664574623108
2010,43,MOAMBA,2.1862096786499
2010,43,NAMAACHA,8.60846090316772
2010,44,BOANE,8.17269253730774
2010,44,MAGUDE,3.98092722892761
2010,44,MANHICA,0
2010,44,MARRACUENE,4.01291847229004
2010,44,MATOLA,7.3341965675354
2010,44,MATUTUINE,2.8943190574646
2010,44,MOAMBA,3.32081246376038
2010,44,NAMAACHA,6.64103364944458
2010,45,BOANE,53.7955808639526
2010,45,MAGUDE,43.7957830429077
2010,45,MANHICA,55.1623563766479
2010,45,MARRACUENE,43.3520879745483
2010,45,MATOLA,47.7872858047485
2010,45,MATUTUINE,70.2538118362427
2010,45,MOAMBA,43.5783338546753
2010,45,NAMAACHA,67.0448503494263
2010,46,BOANE,18.7449588775635
2010,46,MAGUDE,15.703489780426
2010,46,MANHICA,21.4344539642334
2010,46,MARRACUENE,21.2530016899109
2010,46,MATOLA,20.2378425598145
2010,46,MATUTUINE,23.4939785003662
2010,46,MOAMBA,16.7572402954102
2010,46,NAMAACHA,23.1677007675171
2010,47,BOANE,14.7330369949341
2010,47,MAGUDE,9.29108142852783
2010,47,MANHICA,10.5991945266724
2010,47,MARRACUENE,19.3364624977112
2010,47,MATOLA,14.2922630310059
2010,47,MATUTUINE,25.3790454864502
2010,47,MOAMBA,18.5105085372925
2010,47,NAMAACHA,23.5183897018433
2010,48,BOANE,19.5377731323242
2010,48,MAGUDE,0
2010,48,MANHICA,0
2010,48,MARRACUENE,14.1741137504578
2010,48,MATOLA,18.6749267578125
2010,48,MATUTUINE,20.0604267120361
2010,48,MOAMBA,7.56705522537231
2010,48,NAMAACHA,21.8573977947235
2010,49,BOANE,45.8491678237915
2010,49,MAGUDE,49.2051343917847
2010,49,MANHICA,66.5396041870117
2010,49,MARRACUENE,68.3341197967529
2010,49,MATOLA,44.1149578094482
2010,49,MATUTUINE,49.0779309272766
2010,49,MOAMBA,63.8138790130615
2010,49,NAMAACHA,59.09983253479
2010,50,BOANE,29.3688993453979
2010,50,MAGUDE,17.1055955886841
2010,50,MANHICA,13.0902681350708
2010,50,MARRACUENE,15.460919380188
2010,50,MATOLA,27.6405115127563
2010,50,MATUTUINE,29.9046192169189
2010,50,MOAMBA,19.9969100952148
2010,50,NAMAACHA,33.7489757537842
2010,51,BOANE,37.8022475242615
2010,51,MAGUDE,76.5271081924438
2010,51,MANHICA,46.2176375389099
2010,51,MARRACUENE,23.191379070282
2010,51,MATOLA,16.7960429191589
2010,51,MATUTUINE,27.4379453659058
2010,51,MOAMBA,20.0953617095947
2010,51,NAMAACHA,42.9823017120361
2010,52,BOANE,25.282753944397
2010,52,MAGUDE,29.253002166748
2010,52,MANHICA,28.8335700035095
2010,52,MARRACUENE,29.1423239707947
2010,52,MATOLA,23.9347491264343
2010,52,MATUTUINE,25.894926071167
2010,52,MOAMBA,38.4435882568359
2010,52,NAMAACHA,37.0009489059448
2010,53,BOANE,25.8609066009521
2010,53,MAGUDE,14.401328086853
2010,53,MANHICA,17.6189870834351
2010,53,MARRACUENE,29.6429996490479
2010,53,MATOLA,23.6178531646729
2010,53,MATUTUINE,26.0254383087158
2010,53,MOAMBA,18.3813285827637
2010,53,NAMAACHA,27.0852756500244
2011,1,BOANE,0
2011,1,MAGUDE,0
2011,1,MANHICA,0
2011,1,MARRACUENE,0
2011,1,MATOLA,0
2011,1,MATUTUINE,0
2011,1,MOAMBA,0
2011,1,NAMAACHA,0
2011,2,BOANE,0
2011,2,MAGUDE,0
2011,2,MANHICA,0
2011,2,MARRACUENE,0
2011,2,MATOLA,0
2011,2,MATUTUINE,0
2011,2,MOAMBA,0
2011,2,NAMAACHA,0
2011,3,BOANE,80.2916564941406
2011,3,MAGUDE,77.956262588501
2011,3,MANHICA,83.0907859802246
2011,3,MARRACUENE,107.930793762207
2011,3,MATOLA,112.315187454224
2011,3,MATUTUINE,118.059211730957
2011,3,MOAMBA,79.4693050384521
2011,3,NAMAACHA,95.575343132019
2011,4,BOANE,28.203031539917
2011,4,MAGUDE,41.0637989044189
2011,4,MANHICA,27.2064242362976
2011,4,MARRACUENE,35.8172187805176
2011,4,MATOLA,44.4042167663574
2011,4,MATUTUINE,32.2574615478516
2011,4,MOAMBA,18.2937297821045
2011,4,NAMAACHA,31.3514919281006
2011,5,BOANE,28.8285293579102
2011,5,MAGUDE,0
2011,5,MANHICA,4.99972677230835
2011,5,MARRACUENE,0
2011,5,MATOLA,11.229531288147
2011,5,MATUTUINE,0
2011,5,MOAMBA,9.33632183074951
2011,5,NAMAACHA,40.0187568664551
2011,6,BOANE,3.32678890228271
2011,6,MAGUDE,7.9967737197876
2011,6,MANHICA,14.2409510612488
2011,6,MARRACUENE,11.6782999038696
2011,6,MATOLA,5.35312223434448
2011,6,MATUTUINE,0
2011,6,MOAMBA,5.39583683013916
2011,6,NAMAACHA,5.9847993850708
2011,7,BOANE,0
2011,7,MAGUDE,0
2011,7,MANHICA,0
2011,7,MARRACUENE,0
2011,7,MATOLA,0
2011,7,MATUTUINE,0
2011,7,MOAMBA,0
2011,7,NAMAACHA,0
2011,8,BOANE,5.71369457244873
2011,8,MAGUDE,17.6225357055664
2011,8,MANHICA,26.7567434310913
2011,8,MARRACUENE,16.6746363639832
2011,8,MATOLA,8.25458431243896
2011,8,MATUTUINE,7.65663361549377
2011,8,MOAMBA,4.23583126068115
2011,8,NAMAACHA,8.28248310089111
2011,9,BOANE,5.37934017181396
2011,9,MAGUDE,9.2810230255127
2011,9,MANHICA,14.6271877288818
2011,9,MARRACUENE,13.0473976135254
2011,9,MATOLA,8.98025894165039
2011,9,MATUTUINE,15.8877239227295
2011,9,MOAMBA,5.8399543762207
2011,9,NAMAACHA,18.0959095954895
2011,10,BOANE,0
2011,10,MAGUDE,0
2011,10,MANHICA,0
2011,10,MARRACUENE,0
2011,10,MATOLA,0
2011,10,MATUTUINE,0
2011,10,MOAMBA,0
2011,10,NAMAACHA,0
2011,11,BOANE,0
2011,11,MAGUDE,0
2011,11,MANHICA,0
2011,11,MARRACUENE,0
2011,11,MATOLA,0
2011,11,MATUTUINE,0
2011,11,MOAMBA,0
2011,11,NAMAACHA,0
2011,12,BOANE,33.1093420982361
2011,12,MAGUDE,22.09938621521
2011,12,MANHICA,41.2795715332031
2011,12,MARRACUENE,43.2603912353516
2011,12,MATOLA,29.8034553527832
2011,12,MATUTUINE,28.3723182678223
2011,12,MOAMBA,32.8502883911133
2011,12,NAMAACHA,56.2883596420288
2011,13,BOANE,26.2570204734802
2011,13,MAGUDE,23.9691638946533
2011,13,MANHICA,0
2011,13,MARRACUENE,14.0564756393433
2011,13,MATOLA,32.8526220321655
2011,13,MATUTUINE,19.8218307495117
2011,13,MOAMBA,11.8960838317871
2011,13,NAMAACHA,43.5166482925415
2011,14,BOANE,0
2011,14,MAGUDE,0
2011,14,MANHICA,0
2011,14,MARRACUENE,0
2011,14,MATOLA,0
2011,14,MATUTUINE,19.8996334075928
2011,14,MOAMBA,0
2011,14,NAMAACHA,15.837363243103
2011,15,BOANE,18.1137351989746
2011,15,MAGUDE,19.9796462059021
2011,15,MANHICA,49.8488903045654
2011,15,MARRACUENE,28.4718227386475
2011,15,MATOLA,25.4800615310669
2011,15,MATUTUINE,22.7129044532776
2011,15,MOAMBA,15.9291944503784
2011,15,NAMAACHA,34.6018409729004
2011,16,BOANE,10.1362342834473
2011,16,MAGUDE,6.40211534500122
2011,16,MANHICA,0
2011,16,MARRACUENE,29.5235385894775
2011,16,MATOLA,19.6341228485107
2011,16,MATUTUINE,26.0898151397705
2011,16,MOAMBA,18.8944878578186
2011,16,NAMAACHA,12.6864051818848
2011,17,BOANE,0
2011,17,MAGUDE,0
2011,17,MANHICA,0
2011,17,MARRACUENE,0
2011,17,MATOLA,0
2011,17,MATUTUINE,0
2011,17,MOAMBA,0
2011,17,NAMAACHA,0
2011,18,BOANE,0
2011,18,MAGUDE,0
2011,18,MANHICA,0
2011,18,MARRACUENE,0
2011,18,MATOLA,0
2011,18,MATUTUINE,0
2011,18,MOAMBA,0
2011,18,NAMAACHA,0
2011,19,BOANE,0
2011,19,MAGUDE,0
2011,19,MANHICA,4.3714771270752
2011,19,MARRACUENE,0
2011,19,MATOLA,0
2011,19,MATUTUINE,0
2011,19,MOAMBA,3.74222373962402
2011,19,NAMAACHA,0
2011,20,BOANE,0
2011,20,MAGUDE,0
2011,20,MANHICA,7.22188234329224
2011,20,MARRACUENE,2.97351264953613
2011,20,MATOLA,0
2011,20,MATUTUINE,0
2011,20,MOAMBA,0
2011,20,NAMAACHA,0
2011,21,BOANE,15.4358882904053
2011,21,MAGUDE,12.6660075187683
2011,21,MANHICA,0
2011,21,MARRACUENE,12.1494460105896
2011,21,MATOLA,17.5674743652344
2011,21,MATUTUINE,19.0513916015625
2011,21,MOAMBA,3.83364486694336
2011,21,NAMAACHA,21.7116661071777
2011,22,BOANE,0
2011,22,MAGUDE,0
2011,22,MANHICA,0
2011,22,MARRACUENE,0
2011,22,MATOLA,0
2011,22,MATUTUINE,0
2011,22,MOAMBA,0
2011,22,NAMAACHA,0
2011,23,BOANE,0
2011,23,MAGUDE,0
2011,23,MANHICA,0
2011,23,MARRACUENE,2.87074995040894
2011,23,MATOLA,2.40245509147644
2011,23,MATUTUINE,0
2011,23,MOAMBA,0
2011,23,NAMAACHA,2.91561245918274
2011,24,BOANE,5.14660596847534
2011,24,MAGUDE,8.52487850189209
2011,24,MANHICA,16.084944486618
2011,24,MARRACUENE,7.32519626617432
2011,24,MATOLA,5.39560794830322
2011,24,MATUTUINE,6.68900871276855
2011,24,MOAMBA,5.42284393310547
2011,24,NAMAACHA,6.89376306533813
2011,25,BOANE,0
2011,25,MAGUDE,0
2011,25,MANHICA,0
2011,25,MARRACUENE,0
2011,25,MATOLA,0
2011,25,MATUTUINE,0
2011,25,MOAMBA,0
2011,25,NAMAACHA,0
2011,26,BOANE,2.08807063102722
2011,26,MAGUDE,2.73900318145752
2011,26,MANHICA,0.534641921520233
2011,26,MARRACUENE,0
2011,26,MATOLA,0
2011,26,MATUTUINE,2.4690113067627
2011,26,MOAMBA,0
2011,26,NAMAACHA,0
2011,27,BOANE,0
2011,27,MAGUDE,2.86993217468262
2011,27,MANHICA,0
2011,27,MARRACUENE,2.94244480133057
2011,27,MATOLA,0
2011,27,MATUTUINE,0
2011,27,MOAMBA,2.36049604415894
2011,27,NAMAACHA,0
2011,28,BOANE,0
2011,28,MAGUDE,0
2011,28,MANHICA,0
2011,28,MARRACUENE,0
2011,28,MATOLA,0
2011,28,MATUTUINE,0
2011,28,MOAMBA,0
2011,28,NAMAACHA,0
2011,29,BOANE,16.1251201629639
2011,29,MAGUDE,5.51772308349609
2011,29,MANHICA,22.2389650344849
2011,29,MARRACUENE,12.1078844070435
2011,29,MATOLA,21.6438293457031
2011,29,MATUTUINE,16.3368234634399
2011,29,MOAMBA,1.53732621669769
2011,29,NAMAACHA,4.20904004573822
2011,30,BOANE,0
2011,30,MAGUDE,0
2011,30,MANHICA,0
2011,30,MARRACUENE,0
2011,30,MATOLA,0
2011,30,MATUTUINE,0
2011,30,MOAMBA,0
2011,30,NAMAACHA,0
2011,31,BOANE,0
2011,31,MAGUDE,5.11301279067993
2011,31,MANHICA,0
2011,31,MARRACUENE,5.37878656387329
2011,31,MATOLA,0
2011,31,MATUTUINE,8.53921699523926
2011,31,MOAMBA,4.32706451416016
2011,31,NAMAACHA,10.971001625061
2011,32,BOANE,0
2011,32,MAGUDE,4.71104383468628
2011,32,MANHICA,0
2011,32,MARRACUENE,0
2011,32,MATOLA,0
2011,32,MATUTUINE,0
2011,32,MOAMBA,0
2011,32,NAMAACHA,0
2011,33,BOANE,0
2011,33,MAGUDE,0
2011,33,MANHICA,0
2011,33,MARRACUENE,0
2011,33,MATOLA,0
2011,33,MATUTUINE,0
2011,33,MOAMBA,0
2011,33,NAMAACHA,0
2011,34,BOANE,19.5105590820312
2011,34,MAGUDE,5.19379234313965
2011,34,MANHICA,13.077540397644
2011,34,MARRACUENE,13.1551461219788
2011,34,MATOLA,18.9827508926392
2011,34,MATUTUINE,27.8450899124146
2011,34,MOAMBA,9.08150291442871
2011,34,NAMAACHA,24.4019083976746
2011,35,BOANE,0
2011,35,MAGUDE,1.51872932910919
2011,35,MANHICA,0
2011,35,MARRACUENE,5.48512601852417
2011,35,MATOLA,0
2011,35,MATUTUINE,0
2011,35,MOAMBA,0
2011,35,NAMAACHA,0
2011,36,BOANE,0
2011,36,MAGUDE,0
2011,36,MANHICA,0
2011,36,MARRACUENE,0
2011,36,MATOLA,0
2011,36,MATUTUINE,0
2011,36,MOAMBA,0
2011,36,NAMAACHA,0
2011,37,BOANE,0
2011,37,MAGUDE,0
2011,37,MANHICA,0
2011,37,MARRACUENE,0
2011,37,MATOLA,0
2011,37,MATUTUINE,0
2011,37,MOAMBA,0
2011,37,NAMAACHA,0
2011,38,BOANE,0
2011,38,MAGUDE,10.3029079437256
2011,38,MANHICA,16.7833003997803
2011,38,MARRACUENE,9.53744029998779
2011,38,MATOLA,8.52700519561768
2011,38,MATUTUINE,6.24328851699829
2011,38,MOAMBA,8.13180923461914
2011,38,NAMAACHA,7.51632785797119
2011,39,BOANE,0
2011,39,MAGUDE,3.970623254776
2011,39,MANHICA,14.8949997425079
2011,39,MARRACUENE,9.20052766799927
2011,39,MATOLA,9.94520473480225
2011,39,MATUTUINE,14.8352885246277
2011,39,MOAMBA,7.1408429145813
2011,39,NAMAACHA,10.0655670166016
2011,40,BOANE,15.5812702178955
2011,40,MAGUDE,3.2359790802002
2011,40,MANHICA,4.42802238464355
2011,40,MARRACUENE,0
2011,40,MATOLA,0
2011,40,MATUTUINE,9.86113715171814
2011,40,MOAMBA,2.13027787208557
2011,40,NAMAACHA,5.79317426681519
2011,41,BOANE,10.7403993606567
2011,41,MAGUDE,10.7878389358521
2011,41,MANHICA,12.9546155929565
2011,41,MARRACUENE,3.82694792747498
2011,41,MATOLA,8.41688632965088
2011,41,MATUTUINE,10.1911675930023
2011,41,MOAMBA,4.26055574417114
2011,41,NAMAACHA,10.4440202713013
2011,42,BOANE,0
2011,42,MAGUDE,3.97712850570679
2011,42,MANHICA,5.61798143386841
2011,42,MARRACUENE,4.34267711639404
2011,42,MATOLA,0
2011,42,MATUTUINE,4.74110984802246
2011,42,MOAMBA,2.66223883628845
2011,42,NAMAACHA,3.04057574272156
2011,43,BOANE,4.87917423248291
2011,43,MAGUDE,7.78598618507385
2011,43,MANHICA,13.9369301795959
